researcher_id,first_name,last_name,h_index,total_citations,latest_affiliation,homepage
10000157,C.,Chu,4,106,,
10007273,Qiaolin,Xia,9,467,,
10017193,Aiwei,Liu,16,838,Tsinghua University,https://exlaw.github.io/
100466830,Zhaojiang,Lin,23,2080,,
100468503,Zhengzhong,Liu,12,554,,
100506648,Anshul,Nasery,3,57,,
100508901,R.,Wolfe,9,304,,
100520099,H.,Er,3,574,,
100525940,Daniel,McFarland,39,6042,,
10054744,Alena,Fenogenova,11,441,SberDevices,
100576967,Y.,Liu,10,842,,
100627129,G.,Pantazopoulos,21,1340,,
100653935,M.,Komeili,13,1329,,
100664938,O.,Golovneva,6,444,,
100762516,Garrett,Tanzer,3,84,,
100781843,Marie-Francine,Moens,16,1477,KU Leuven,https://people.cs.kuleuven.be/~sien.moens/
100784405,F.,Same,4,40,,
100797192,Ana-Maria,Cretu,2,130,,
10080270,J.,Makhoul,53,19157,,
100811091,Jason,Lee,24,2887,New York University,https://jasonleeinf.github.io/
100832735,Ahmed,Masry,9,1160,Koc University,
10089460,V.,Gupta,6,193,,
100896506,Yun,Zhu,6,240,,
100917154,Angelo,Basile,12,466,,
100967159,Dhruv,Gelda,6,150,,
100969823,Masoumeh,Aminzadeh,7,418,,
100984698,Yada,Pruksachatkun,13,5862,,
10099514,Zhilin,Liao,2,59,HUNDSUN,
100996634,Ying,Zhang,19,1152,,
10109293,Seniz,Demir,15,700,,
101098891,S.,Barannikov,13,1044,,
101161623,J.,Tan,2,736,,
101193275,Tianze,Luo,4,73,,
101210026,Anirudh,Ravula,7,2706,,
101247384,Mahdis,Mahdieh,3,55,,
10127337,V.,Nia,14,884,,
101333187,Shohei,Iida,3,35,,
10135862,Angelo,Ziletti,13,2030,Bayer AG,https://angeloziletti.github.io/
10136905,Cheonbok,Park,11,974,,
101371510,Zhexin,Zhang,10,571,,
101486331,Mingyang,Wan,5,218,,
101531362,Nick,McKenna,4,245,University of Edinburgh,nmckenna.me
101568984,Zejiang,Shen,13,836,MIT,https://www.szj.io
101654431,Jakob,Havtorn,7,548,,
101655391,Lee,Xiong,2,1294,,
101668216,Beomseok,Lee,5,73,samsung.com,
101721481,Amin,Ahmad,2,533,,
101829183,Wei,Zhou,66,24789,,
101841139,E.,Gade,8,279,,
101880623,N.,Kwak,14,485,,
101904272,Andrea,Seveso,8,265,,
10195617,Myrl,Marmarelis,4,52,,
101958625,Chryssi,Giannitsarou,16,821,,
